No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
36,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J12352497+0608111</a>",188.853935,6.136300,G,28241.702676,0.094204,SLS,23,,60,10,7,10,,,,1,1
37,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J131235.91+500416.1</a>",198.149866,50.071095,G,34699.659126,0.115746,SLS,23,,72,11,8,10,1,,,1,1
38,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J142039.61+495906.7</a>",215.164980,49.985175,G,18957.853951,0.063237,SLS,19,,68,8,6,10,,,,1,1
39,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J114048.00+445208.3</a>",175.199985,44.869002,G,20760.028132,0.069248,SUN,21,,64,8,7,10,,1,,1,1
40,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J104813.05+442710.5</a>",162.054343,44.452836,G,41871.472982,0.139668,SLS,15,,68,6,3,10,,,,1,1
41,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J150053.91+382349.6</a>",225.224651,38.397124,G,43558.057384,0.145294,SLS,17,,68,8,4,10,,,,1,1
42,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J145217.27+511050.2</a>",223.071948,51.180633,G,22724.831926,0.075802,SLS,22,,68,9,7,10,,1,,1,1
43,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J161006.41+210735.3</a>",242.526750,21.126417,G,41125.529388,0.137180,SLS,20,,22,6,5,,,,,1,1
44,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J165206.14+310707.5</a>",253.025604,31.118786,G,22483.061301,0.074995,SLS,26,,83,13,9,10,,,,1,1
45,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J07472979+3440185</a>",116.874020,34.671710,G,38891.257143,0.129727,SLS,26,,58,10,9,10,,,1,1,1
46,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J120357.34+280856.8</a>",180.988966,28.149093,G,20761.423665,0.069253,SLS,17,,44,6,6,6,,,,1,1
47,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J075223.34+273643.1</a>",118.097307,27.611982,G,20709.944804,0.069081,SLS,24,,111,16,8,10,,,,1,1
