Num   theta     phi         ul          ul_err     nsamples
263   1.231    4.614   2.104265e-15  6.711795e-17   100000 
264   1.231    4.811   2.179895e-15  7.654643e-17   100000 
265   1.231    5.007   2.278119e-15  8.441704e-17   100000 
266   1.231    5.203   2.150771e-15  6.249285e-17   100000 
267   1.231    5.400   2.459542e-15  9.403564e-17   100000 
268   1.231    5.596   2.620907e-15  7.786599e-17   100000 
269   1.231    5.792   2.625742e-15  1.222739e-16   100000 
270   1.231    5.989   2.979892e-15  9.758743e-17   100000 
271   1.231    6.185   3.340281e-15  9.141012e-17   100000 
272   1.318    0.000   3.571322e-15  9.605516e-17   99900  
273   1.318    0.196   4.480525e-15  1.917189e-16   100000 
274   1.318    0.393   5.632546e-15  2.424263e-16   100000 
275   1.318    0.589   6.132508e-15  2.041580e-16   100000 
276   1.318    0.785   7.774150e-15  2.549194e-16   100000 
277   1.318    0.982   9.059417e-15  2.541641e-16   100000 
278   1.318    1.178   1.034160e-14  3.360900e-16   100000 
279   1.318    1.374   1.134501e-14  2.418249e-16   100000 
280   1.318    1.571   1.325530e-14  4.210186e-16   100000 
281   1.318    1.767   1.227926e-14  3.255594e-16   100000 
282   1.318    1.963   1.038417e-14  2.088828e-16   100000 
283   1.318    2.160   1.023143e-14  3.316810e-16   100000 
284   1.318    2.356   8.896850e-15  2.661795e-16   99900  
285   1.318    2.553   7.469426e-15  2.372334e-16   100000 
286   1.318    2.749   6.013461e-15  1.854679e-16   100000 
287   1.318    2.945   4.580196e-15  1.835032e-16   100000 
288   1.318    3.142   4.039204e-15  1.053753e-16   100000 
289   1.318    3.338   3.773802e-15  1.828072e-16   100000 
290   1.318    3.534   3.017567e-15  1.255948e-16   100000 
291   1.318    3.731   2.959133e-15  1.090473e-16   100000 
292   1.318    3.927   2.613101e-15  9.510399e-17   100000 
293   1.318    4.123   2.289743e-15  8.440576e-17   100000 
294   1.318    4.320   2.034113e-15  5.704567e-17   100000 
295   1.318    4.516   2.030617e-15  6.137715e-17   100000 
296   1.318    4.712   2.202808e-15  7.886500e-17   100000 
297   1.318    4.909   2.127404e-15  5.876092e-17   100000 
298   1.318    5.105   2.334358e-15  8.185265e-17   99900  
299   1.318    5.301   2.496922e-15  8.648548e-17   100000 
300   1.318    5.498   2.186267e-15  5.777937e-17   99900  
301   1.318    5.694   2.584108e-15  1.042981e-16   100000 
302   1.318    5.890   2.772178e-15  1.141078e-16   99900  
303   1.318    6.087   3.164917e-15  1.128946e-16   100000 
304   1.403    0.098   4.036237e-15  1.465493e-16   100000 
305   1.403    0.295   4.584363e-15  1.447101e-16   100000 
306   1.403    0.491   6.111248e-15  1.952562e-16   100000 
307   1.403    0.687   7.439679e-15  3.962697e-16   100000 
308   1.403    0.884   8.175819e-15  3.270231e-16   100000 
309   1.403    1.080   9.760677e-15  3.058313e-16   99900  
310   1.403    1.276   1.167534e-14  4.004440e-16   100000 
311   1.403    1.473   1.195289e-14  4.032968e-16   100000 
312   1.403    1.669   1.239567e-14  2.795894e-16   100000 
